exp,split,mec,suelo,thr,f1,f1_025,delta,exacto,bate_ref
"Tamaño, cant. igualada 50",test,Model merging,0.25,0.25,25.790139064475348,25.790139064475348,0.0,False,False
"Tamaño, cant. igualada 50",test,Modelo único,0.25,0.5,86.1776061776062,83.07493540051681,3.1026707770893864,True,False
"Tamaño, cant. igualada 50",test,Ensemble no especializado,0.25,0.25,81.98653198653197,81.98653198653197,0.0,False,False
"Tamaño, natural 100 ép.",field_work,Ensemble de expertos,0.25,0.25,76.84761281883586,76.84761281883586,0.0,False,False
"Tamaño, natural 100 ép.",field_work,Ens. pesos por fiabilidad,0.05,0.05,75.33783783783785,52.71186440677968,22.62597343105817,False,False
"Tamaño, natural 100 ép.",field_work,Model merging,0.25,0.25,20.515411824153613,20.515411824153613,0.0,False,False
"Tamaño, natural 100 ép.",field_work,Modelo único,0.25,0.25,80.50979173142679,80.50979173142679,0.0,False,True
"Tamaño, natural 100 ép.",field_work,Ensemble no especializado,0.25,0.25,65.130336229694,65.130336229694,0.0,False,False
"Tamaño, natural 100 ép.",test,Ensemble de expertos,0.25,0.3,88.08823529411764,86.91983122362869,1.168404070488947,True,True
"Tamaño, natural 100 ép.",test,Ens. pesos por fiabilidad,0.05,0.05,87.08751793400286,75.38322813345357,11.70428980054929,False,False
"Tamaño, natural 100 ép.",test,Model merging,0.25,0.25,40.04629629629631,40.04629629629631,0.0,False,False
"Tamaño, natural 100 ép.",test,Modelo único,0.25,0.5,90.03115264797509,86.90807799442896,3.1230746535461265,True,True
"Tamaño, natural 100 ép.",test,Ensemble no especializado,0.25,0.25,85.00000000000001,85.00000000000001,0.0,False,False
"Tamaño, modelo grande 100",field_work,Ensemble de expertos,0.25,0.25,76.64747280870122,76.64747280870122,0.0,False,False
"Tamaño, modelo grande 100",field_work,Ens. pesos por fiabilidad,0.08,0.08,75.4654255319149,54.0244416350611,21.4409838968538,False,False
"Tamaño, modelo grande 100",field_work,Model merging,0.25,0.25,35.5782628889921,35.5782628889921,0.0,False,False
"Tamaño, modelo grande 100",field_work,Modelo único,0.25,0.3,79.62172056131787,79.37536829699468,0.24635226432319257,True,True
"Tamaño, modelo grande 100",field_work,Ensemble no especializado,0.25,0.25,64.30456087448172,64.30456087448172,0.0,False,False
"Tamaño, modelo grande 100",test,Ensemble de expertos,0.25,0.4,86.88524590163934,84.78260869565216,2.102637205987179,True,False
"Tamaño, modelo grande 100",test,Ens. pesos por fiabilidad,0.08,0.08,85.45326774420238,75.45454545454545,9.998722289656925,False,False
"Tamaño, modelo grande 100",test,Model merging,0.25,0.25,55.7948717948718,55.7948717948718,0.0,False,False
"Tamaño, modelo grande 100",test,Modelo único,0.25,0.55,88.7843137254902,84.57446808510637,4.2098456403838185,True,True
"Tamaño, modelo grande 100",test,Ensemble no especializado,0.25,0.25,83.48106365834005,83.48106365834005,0.0,False,False
DA heterogénea,field_work,Ensemble de expertos,0.25,0.3,81.87066974595842,81.56241464080853,0.30825510514989674,True,True
DA heterogénea,field_work,Ens. pesos por fiabilidad,0.1,0.1,81.92009198045417,59.02864259028643,22.891449390167743,False,True
DA heterogénea,field_work,Modelo único,0.25,0.25,74.23494570582429,74.23494570582429,0.0,False,False
DA heterogénea,field_work,Ensemble no especializado,0.25,0.25,82.87153652392948,82.87153652392948,0.0,False,True
DA heterogénea,test,Ensemble de expertos,0.25,0.55,90.11152416356876,85.07821901323706,5.0333051503316995,True,True
DA heterogénea,test,Ens. pesos por fiabilidad,0.1,0.18,89.94082840236686,82.960413080895,6.980415321471867,True,True
DA heterogénea,test,Modelo único,0.25,0.4,86.75078864353313,86.64206642066421,0.10872222286891997,True,False
DA heterogénea,test,Ensemble no especializado,0.25,0.55,90.56047197640116,83.1199068684517,7.4405651079494675,True,True
DA homogénea,field_work,Ensemble de expertos,0.05,0.35,81.26064735945485,80.45634920634922,0.8042981531056341,True,True
DA homogénea,field_work,Ens. pesos por fiabilidad,0.02,0.12,81.44329896907216,60.13928717738632,21.304011791685838,True,True
DA homogénea,field_work,Model merging,0.05,0.05,79.19109026963659,71.01289134438305,8.17819892525354,False,True
DA homogénea,field_work,Modelo único,0.05,0.18,75.24813895781638,74.23494570582429,1.0131932519920923,True,False
DA homogénea,field_work,Ensemble no especializado,0.25,0.3,81.56206415620643,81.43869782095038,0.12336633525605123,True,True
DA homogénea,test,Ensemble de expertos,0.25,0.6,89.70251716247141,80.61051441492368,9.092002747547724,True,True
DA homogénea,test,Ens. pesos por fiabilidad,0.1,0.2,89.66565349544072,83.63324764353041,6.032405851910312,True,True
DA homogénea,test,Model merging,0.25,0.25,89.7025171624714,89.7025171624714,0.0,False,True
DA homogénea,test,Modelo único,0.25,0.4,86.75078864353313,86.64206642066421,0.10872222286891997,True,False
DA homogénea,test,Ensemble no especializado,0.25,0.6,88.39354342813222,81.3441483198146,7.049395108317626,True,True
