experiment,split,total_gt_shrubs,agreement_histogram,per_expert_solo_recall
juniperus_seg_by_size_20260830_202803,field_work,1771,"{""0"": 683, ""1"": 913, ""2"": 175, ""3"": 0}","{""E_small"": 0.13043478260869565, ""E_medium"": 0.3495200451722191, ""E_large"": 0.233201581027668}"
juniperus_seg_by_size_20260830_221329,test,690,"{""0"": 69, ""1"": 471, ""2"": 150, ""3"": 0}","{""E_small"": 0.1956521739130435, ""E_medium"": 0.44782608695652176, ""E_large"": 0.47391304347826085}"
juniperus_seg_by_size_20260830_221329,field_work,1771,"{""0"": 615, ""1"": 888, ""2"": 268, ""3"": 0}","{""E_small"": 0.1852060982495765, ""E_medium"": 0.3201581027667984, ""E_large"": 0.2987012987012987}"
seg_smoke_test_by_region,test,690,"{""0"": 690, ""1"": 0, ""2"": 0, ""3"": 0}","{""E_region0"": 0.0, ""E_region1"": 0.0}"
seg_smoke_test_by_region,field_work,1771,"{""0"": 1771, ""1"": 0, ""2"": 0, ""3"": 0}","{""E_region0"": 0.0, ""E_region1"": 0.0}"
seg_smoke_test_by_size,test,690,"{""0"": 689, ""1"": 1, ""2"": 0, ""3"": 0}","{""E_small"": 0.0, ""E_medium"": 0.0014492753623188406, ""E_large"": 0.0}"
seg_smoke_test_by_size,field_work,1771,"{""0"": 1771, ""1"": 0, ""2"": 0, ""3"": 0}","{""E_small"": 0.0, ""E_medium"": 0.0, ""E_large"": 0.0}"
smoke_test_heterogeneous,test,690,"{""0"": 664, ""1"": 26, ""2"": 0, ""3"": 0}","{""E1_scale"": 0.0, ""E2_illum"": 0.0, ""E3_geom"": 0.03768115942028986}"
smoke_test_heterogeneous,field_work,1771,"{""0"": 1732, ""1"": 39, ""2"": 0, ""3"": 0}","{""E1_scale"": 0.0, ""E2_illum"": 0.0, ""E3_geom"": 0.0220214568040655}"
juniperus_seg_heterogeneous_20260905_111758,field_work,1771,"{""0"": 485, ""1"": 174, ""2"": 293, ""3"": 819}","{""E1_scale"": 0.49407114624505927, ""E2_illum"": 0.6612083568605308, ""E3_geom"": 0.6612083568605308}"
juniperus_seg_heterogeneous_20260905_111758,test,690,"{""0"": 42, ""1"": 36, ""2"": 77, ""3"": 535}","{""E1_scale"": 0.8014492753623188, ""E2_illum"": 0.8956521739130435, ""E3_geom"": 0.9043478260869565}"
juniperus_seg_homogeneous_20260905_105741,field_work,1771,"{""0"": 422, ""1"": 184, ""2"": 329, ""3"": 836}","{""E1_scale"": 0.49407114624505927, ""E2_illum"": 0.6939582156973462, ""E3_geom"": 0.7035573122529645}"
juniperus_seg_homogeneous_20260905_105741,test,690,"{""0"": 36, ""1"": 49, ""2"": 75, ""3"": 530}","{""E1_scale"": 0.8014492753623188, ""E2_illum"": 0.8869565217391304, ""E3_geom"": 0.9043478260869565}"
