experiment,mechanism,split,overlap,score_thr,metric,score_min,TP,FP,FN,precision,recall,f1
copypaste_test,copy-paste,test,50,0.25,IoU,0.25184011459350586,635,266,55,70.4772475027747,92.02898550724638,79.8240100565682
copypaste_test,copy-paste,test,50,0.25,S-IoU,0.25184011459350586,642,259,19,71.25416204217537,97.12556732223904,82.202304737516
copypaste_test,copy-paste,test,50,0.3,IoU,0.25184011459350586,617,212,73,74.4270205066345,89.42028985507247,81.23765635286372
copypaste_test,copy-paste,test,50,0.3,S-IoU,0.25184011459350586,618,211,34,74.54764776839565,94.78527607361963,83.45712356515867
copypaste_test,copy-paste,test,50,0.35,IoU,0.25184011459350586,609,168,81,78.37837837837837,88.26086956521739,83.02658486707566
copypaste_test,copy-paste,test,50,0.35,S-IoU,0.25184011459350586,610,167,43,78.5070785070785,93.41500765696784,85.31468531468532
copypaste_test,copy-paste,test,50,0.4,IoU,0.25184011459350586,599,141,91,80.94594594594594,86.81159420289855,83.77622377622377
copypaste_test,copy-paste,test,50,0.4,S-IoU,0.25184011459350586,600,140,49,81.08108108108108,92.44992295839754,86.39308855291577
copypaste_test,copy-paste,test,50,0.45,IoU,0.25184011459350586,587,114,103,83.73751783166904,85.07246376811595,84.39971243709562
copypaste_test,copy-paste,test,50,0.45,S-IoU,0.25184011459350586,586,115,62,83.59486447931526,90.4320987654321,86.87916975537435
copypaste_test,copy-paste,test,50,0.5,IoU,0.25184011459350586,577,89,113,86.63663663663664,83.6231884057971,85.10324483775811
copypaste_test,copy-paste,test,50,0.5,S-IoU,0.25184011459350586,576,90,73,86.48648648648648,88.75192604006163,87.6045627376426
copypaste_test,copy-paste,test,50,0.55,IoU,0.25184011459350586,562,64,128,89.77635782747603,81.44927536231884,85.41033434650457
copypaste_test,copy-paste,test,50,0.55,S-IoU,0.25184011459350586,562,64,93,89.77635782747603,85.80152671755725,87.74395003903201
copypaste_test,copy-paste,test,50,0.6,IoU,0.25184011459350586,544,51,146,91.42857142857143,78.84057971014494,84.6692607003891
copypaste_test,copy-paste,test,50,0.6,S-IoU,0.25184011459350586,546,49,114,91.76470588235294,82.72727272727273,87.01195219123507
copypaste_test,copy-paste,test,50,0.65,IoU,0.25184011459350586,504,36,186,93.33333333333333,73.04347826086956,81.95121951219512
copypaste_test,copy-paste,test,50,0.65,S-IoU,0.25184011459350586,503,37,160,93.14814814814815,75.86726998491704,83.62427265170406
copypaste_test,copy-paste,test,50,0.7,IoU,0.25184011459350586,459,25,231,94.83471074380165,66.52173913043478,78.19420783645656
copypaste_test,copy-paste,test,50,0.7,S-IoU,0.25184011459350586,457,27,211,94.42148760330579,68.41317365269461,79.34027777777779
copypaste_test,copy-paste,field_work,50,0.15,IoU,0.05010481923818588,1319,728,452,64.43575964826576,74.47769621682664,69.09376636982714
copypaste_test,copy-paste,field_work,50,0.15,S-IoU,0.05010481923818588,1462,585,238,71.42159257449927,86.0,78.03576194288763
copypaste_test,copy-paste,field_work,50,0.2,IoU,0.05010481923818588,1283,569,488,69.27645788336933,72.44494635798983,70.82528291471156
copypaste_test,copy-paste,field_work,50,0.2,S-IoU,0.05010481923818588,1392,460,276,75.16198704103671,83.45323741007195,79.09090909090908
copypaste_test,copy-paste,field_work,50,0.25,IoU,0.05010481923818588,1239,447,532,73.48754448398577,69.96047430830039,71.68064796065954
copypaste_test,copy-paste,field_work,50,0.25,S-IoU,0.05010481923818588,1323,363,319,78.46975088967972,80.57247259439708,79.50721153846155
copypaste_test,copy-paste,field_work,50,0.3,IoU,0.05010481923818588,1200,351,571,77.36943907156673,67.75832862789385,72.24563515954245
copypaste_test,copy-paste,field_work,50,0.3,S-IoU,0.05010481923818588,1263,288,368,81.43133462282398,77.43715511955855,79.3840351979887
copypaste_test,copy-paste,field_work,50,0.35,IoU,0.05010481923818588,1155,280,616,80.48780487804879,65.21739130434783,72.0524017467249
copypaste_test,copy-paste,field_work,50,0.35,S-IoU,0.05010481923818588,1196,239,427,83.34494773519164,73.69069624152803,78.22105951602353
copypaste_test,copy-paste,field_work,50,0.4,IoU,0.05010481923818588,1125,222,646,83.51893095768375,63.523433088650485,72.16164207825531
copypaste_test,copy-paste,field_work,50,0.4,S-IoU,0.05010481923818588,1151,196,470,85.44914625092798,71.00555212831586,77.56064690026955
copypaste_test,copy-paste,field_work,50,0.45,IoU,0.05010481923818588,1079,180,692,85.70293884034949,60.926030491247886,71.22112211221122
copypaste_test,copy-paste,field_work,50,0.45,S-IoU,0.05010481923818588,1098,161,520,87.21207307386814,67.86155747836835,76.32950990615224
copypaste_test,copy-paste,field_work,50,0.5,IoU,0.05010481923818588,1013,132,758,88.47161572052403,57.19932241671371,69.47873799725652
copypaste_test,copy-paste,field_work,50,0.5,S-IoU,0.05010481923818588,1022,123,604,89.25764192139738,62.85362853628536,73.76398412125586
copypaste_test,copy-paste,field_work,50,0.55,IoU,0.05010481923818588,952,109,819,89.72667295004713,53.75494071146245,67.2316384180791
copypaste_test,copy-paste,field_work,50,0.55,S-IoU,0.05010481923818588,957,104,681,90.19792648444863,58.42490842490843,70.91515376065209
copypaste_test,copy-paste,field_work,50,0.6,IoU,0.05010481923818588,860,79,911,91.58679446219382,48.560135516657255,63.46863468634686
copypaste_test,copy-paste,field_work,50,0.6,S-IoU,0.05010481923818588,866,73,793,92.22577209797656,52.200120554550935,66.66666666666666
copypaste_test,copy-paste,field_work,50,0.65,IoU,0.05010481923818588,755,63,1016,92.29828850855746,42.631281761716544,58.323677095403625
copypaste_test,copy-paste,field_work,50,0.65,S-IoU,0.05010481923818588,760,58,913,92.90953545232273,45.427375971309026,61.01967081493376
copypaste_test,copy-paste,field_work,50,0.7,IoU,0.05010481923818588,637,41,1134,93.952802359882,35.96837944664031,52.02123315639036
copypaste_test,copy-paste,field_work,50,0.7,S-IoU,0.05010481923818588,642,36,1062,94.69026548672566,37.67605633802817,53.904282115869016
distilled,destilado,test,50,0.25,IoU,0.2506077289581299,624,240,66,72.22222222222221,90.43478260869566,80.3088803088803
distilled,destilado,test,50,0.25,S-IoU,0.2506077289581299,625,239,35,72.33796296296296,94.6969696969697,82.02099737532808
distilled,destilado,test,50,0.3,IoU,0.2506077289581299,616,214,74,74.21686746987952,89.27536231884058,81.05263157894736
distilled,destilado,test,50,0.3,S-IoU,0.2506077289581299,614,216,40,73.97590361445782,93.88379204892966,82.74932614555254
distilled,destilado,test,50,0.35,IoU,0.2506077289581299,606,184,84,76.70886075949367,87.82608695652175,81.8918918918919
distilled,destilado,test,50,0.35,S-IoU,0.2506077289581299,603,187,48,76.32911392405063,92.62672811059907,83.69188063844553
distilled,destilado,test,50,0.4,IoU,0.2506077289581299,602,159,88,79.10643889618922,87.2463768115942,82.97725706409373
distilled,destilado,test,50,0.4,S-IoU,0.2506077289581299,599,162,53,78.71222076215506,91.87116564417178,84.78414720452938
distilled,destilado,test,50,0.45,IoU,0.2506077289581299,592,133,98,81.65517241379311,85.79710144927536,83.67491166077738
