split,imagen,tipo,idx,area,bucket,n_solapan,cobertura,detectada
test,Img_139.tif,pred,21,2173.0,,2,85.01374795125885,True
test,Img_139.tif,pred,22,946.5,,1,44.88599393081721,False
test,Img_139.tif,pred,23,1116.5,,1,51.51148088550159,True
test,Img_140.tif,gt,0,942.5014399610876,medium,1,98.31561168674298,True
test,Img_140.tif,gt,1,434.50407986585594,medium,1,95.77098193676422,True
test,Img_140.tif,gt,2,1235.5031359569928,large,1,99.22098327217788,True
test,Img_140.tif,pred,0,987.0,,1,98.31561168674298,True
test,Img_140.tif,pred,1,1322.5,,1,99.22098327217778,True
test,Img_140.tif,pred,2,462.5,,1,95.77098193676417,True
test,Img_147.tif,gt,0,934.4991038423041,medium,1,98.30788194305939,True
test,Img_147.tif,pred,0,999.0,,1,98.30788194305941,True
test,Img_164.tif,gt,0,1032.2517120778243,medium,1,96.85148885753493,True
test,Img_164.tif,pred,0,1047.5,,1,96.85148885753503,True
test,Img_166.tif,gt,0,353.5003359354879,medium,1,97.06474055389938,True
test,Img_166.tif,gt,1,515.5007680471041,medium,1,88.02142461126152,True
test,Img_166.tif,gt,2,148.49936003481594,small,1,86.78463793925172,True
test,Img_166.tif,gt,3,220.49899206451207,medium,1,91.89353933479643,True
test,Img_166.tif,gt,4,693.5021761310724,medium,1,95.51172106110363,True
test,Img_166.tif,pred,0,710.0,,1,95.51172106110363,True
test,Img_166.tif,pred,1,387.0,,1,97.06474055389947,True
test,Img_166.tif,pred,2,240.5,,1,91.89353933479643,True
test,Img_166.tif,pred,3,487.5,,1,88.02142461126154,True
test,Img_166.tif,pred,4,151.5,,1,86.78463793925177,True
test,Img_190.tif,gt,0,449.5054080204797,medium,1,99.72181335166529,True
test,Img_190.tif,pred,0,668.0,,1,99.72181335166528,True
test,Img_194.tif,gt,0,1393.4975839662077,large,1,99.13881500834385,True
test,Img_194.tif,pred,0,1563.0,,1,99.13881500834391,True
test,Img_2.tif,gt,0,4188.503711866878,large,1,96.14262334686642,True
test,Img_2.tif,gt,1,668.5027998924795,medium,1,86.40604407007946,True
test,Img_2.tif,gt,2,99.49980800614414,small,0,0.0,False
test,Img_2.tif,gt,3,158.5030079610879,small,0,0.0,False
test,Img_2.tif,pred,0,4166.5,,1,96.1426233468666,True
test,Img_2.tif,pred,1,627.5,,1,86.40604407007947,True
test,Img_2.tif,pred,2,9230.0,,0,0.0,False
test,Img_201.tif,gt,0,120.50036788428798,small,1,85.78896948587924,True
test,Img_201.tif,gt,1,97.50331219148795,small,1,95.9609453843533,True
test,Img_201.tif,gt,2,4664.498783436799,large,1,97.54929244911028,True
test,Img_201.tif,gt,3,7637.500831973375,large,1,99.1260018988633,True
test,Img_201.tif,gt,4,908.4998556999682,medium,2,96.99363429853221,True
test,Img_201.tif,gt,5,1036.5004957368312,medium,1,79.02792860989358,True
test,Img_201.tif,gt,6,73.49876797849592,small,0,0.0,False
test,Img_201.tif,gt,7,89.50030401536006,small,1,65.78184584012124,True
test,Img_201.tif,gt,8,180.50097600102362,small,1,83.44902914218174,True
test,Img_201.tif,pred,0,108.5,,1,85.78896948587924,True
test,Img_201.tif,pred,1,1003.0,,1,95.8105622308597,True
test,Img_201.tif,pred,2,837.5,,1,79.02792860989354,True
test,Img_201.tif,pred,3,121.0,,1,95.96094538435328,True
test,Img_201.tif,pred,4,61.0,,1,65.78184584012122,True
test,Img_201.tif,pred,5,13647.0,,3,97.72243524295361,True
test,Img_201.tif,pred,6,173.0,,1,83.44902914218176,True
test,Img_201.tif,pred,7,208.5,,0,0.0,False
test,Img_202.tif,gt,0,5294.756479674367,large,1,99.52312367722799,True
test,Img_202.tif,gt,1,2068.2484640563207,large,1,99.95770295279374,True
test,Img_202.tif,gt,2,2326.4965439242233,large,1,99.01671790472291,True
test,Img_202.tif,gt,3,1358.4978078945214,large,1,96.40219014715609,True
test,Img_202.tif,gt,4,1919.4899520061429,large,1,95.51671005307992,True
test,Img_202.tif,gt,5,1408.5010400849915,large,1,98.1762430102162,True
test,Img_202.tif,gt,6,2831.4977600860148,large,2,96.92737542100666,True
test,Img_202.tif,gt,7,2182.4986241802253,large,1,95.38377237988969,True
test,Img_202.tif,gt,8,3867.503471691774,large,2,99.31480428820349,True
test,Img_202.tif,gt,9,291.5003199897601,medium,1,95.36884215249633,True
test,Img_202.tif,gt,10,240.4999040245759,medium,1,99.2723755859673,True
test,Img_202.tif,gt,11,123.74760004812802,small,1,98.68698538673875,True
test,Img_202.tif,gt,12,181.2508798033921,small,1,95.99963988952737,True
test,Img_202.tif,gt,13,1115.498560139264,medium,1,97.26594715074486,True
test,Img_202.tif,gt,14,2310.502175930368,large,1,95.91254624109501,True
test,Img_202.tif,gt,15,1959.5029762129916,large,1,94.99556869658052,True
test,Img_202.tif,gt,16,1625.5005919272926,large,1,96.5778502653754,True
test,Img_202.tif,gt,17,162.4988000133114,small,1,91.61505681474404,True
test,Img_202.tif,pred,0,1932.5,,1,94.99556869658056,True
test,Img_202.tif,pred,1,1170.5,,1,97.2659471507448,True
test,Img_202.tif,pred,2,5110.0,,4,61.13008040157456,True
test,Img_202.tif,pred,3,2204.0,,1,95.38377237988965,True
test,Img_202.tif,pred,4,2006.5,,1,95.51671005307995,True
test,Img_202.tif,pred,5,4417.0,,3,50.6050956056582,True
test,Img_202.tif,pred,6,2312.0,,1,95.91254624109507,True
test,Img_202.tif,pred,7,12828.0,,4,99.11407995821138,True
test,Img_202.tif,pred,8,1774.5,,1,96.5778502653753,True
test,Img_202.tif,pred,9,190.5,,1,91.61505681474404,True
test,Img_202.tif,pred,10,205.0,,1,95.99963988952737,True
test,Img_202.tif,pred,11,164.0,,1,98.68698538673874,True
test,Img_212.tif,gt,0,1061.502895681536,medium,0,0.0,False
test,Img_219.tif,gt,0,286.2518879109119,medium,1,80.96034356178431,True
test,Img_219.tif,gt,1,1566.499520036864,large,1,95.47558927946378,True
test,Img_219.tif,gt,2,858.5027842191365,medium,0,0.0,False
test,Img_219.tif,gt,3,2235.4913919242254,large,1,91.52061597324187,True
test,Img_219.tif,gt,4,575.5021599129598,medium,1,95.11277453478803,True
test,Img_219.tif,gt,5,198.50068804608014,medium,1,82.49381177213631,True
test,Img_219.tif,gt,6,158.49998405427206,small,1,99.99999999999997,True
test,Img_219.tif,gt,7,382.5009920757764,medium,1,94.46040336369046,True
test,Img_219.tif,gt,8,1010.4972159528965,medium,0,0.0,False
test,Img_219.tif,gt,9,1385.5019680194546,large,1,93.46801244524931,True
test,Img_219.tif,gt,10,459.49819183923177,medium,1,93.68913642905052,True
test,Img_219.tif,pred,0,1567.0,,1,95.47558927946373,True
test,Img_219.tif,pred,1,1343.0,,1,93.46801244524934,True
test,Img_219.tif,pred,2,492.0,,1,93.6891364290505,True
test,Img_219.tif,pred,3,241.0,,1,80.96034356178433,True
test,Img_219.tif,pred,4,629.0,,1,95.11277453478803,True
test,Img_219.tif,pred,5,669.5,,2,96.08336897237193,True
test,Img_219.tif,pred,6,186.5,,1,82.49381177213628,True
test,Img_219.tif,pred,7,2131.0,,1,91.52061597324186,True
test,Img_220.tif,gt,0,1154.7466716979206,medium,1,92.36346688423183,True
test,Img_220.tif,gt,1,967.5009280921605,medium,1,86.60848953556906,True
test,Img_220.tif,gt,2,3310.499167940608,large,1,90.25642347117972,True
test,Img_220.tif,gt,3,628.4991839866883,medium,0,0.0,False
test,Img_220.tif,gt,4,2772.4971360665627,large,1,91.7810089237995,True
test,Img_220.tif,gt,5,1205.49947191296,large,1,89.84343411193316,True
test,Img_220.tif,pred,0,2642.5,,1,91.78100892379945,True
test,Img_220.tif,pred,1,1127.5,,1,89.84343411193319,True
test,Img_220.tif,pred,2,3928.0,,2,89.43141660135883,True
test,Img_220.tif,pred,3,1127.5,,1,92.3634668842319,True
test,Img_223.tif,gt,0,1121.5033918054396,medium,1,93.76915731260058,True
test,Img_223.tif,gt,1,478.4988959170562,medium,1,94.35753427714663,True
test,Img_223.tif,pred,0,1112.5,,1,93.76915731260056,True
test,Img_223.tif,pred,1,506.0,,1,94.35753427714668,True
test,Img_224.tif,gt,0,152.24708806451198,small,1,72.00393607613226,True
test,Img_224.tif,gt,1,181.49692805529608,small,0,0.0,False
test,Img_224.tif,gt,2,209.49972796211213,medium,0,0.0,False
test,Img_224.tif,gt,3,327.4991839150081,medium,0,0.0,False
test,Img_224.tif,gt,4,162.50193601331213,small,0,0.0,False
test,Img_224.tif,gt,5,122.49820801433616,small,0,0.0,False
test,Img_224.tif,gt,6,84.50116798054395,small,0,0.0,False
test,Img_224.tif,gt,7,2174.5031200256,large,1,95.45869733928342,True
test,Img_224.tif,gt,8,787.503807942656,medium,1,95.72229827091789,True
test,Img_224.tif,gt,9,397.49593633792034,medium,1,95.62911552054186,True
test,Img_224.tif,gt,10,963.4999842693119,medium,1,93.35734953053758,True
test,Img_224.tif,gt,11,379.4998079631364,medium,1,93.80758364186705,True
test,Img_224.tif,gt,12,352.49923221094406,medium,2,85.90473976769565,True
test,Img_224.tif,pred,0,2174.0,,1,95.45869733928346,True
test,Img_224.tif,pred,1,953.5,,1,95.72229827091789,True
test,Img_224.tif,pred,2,975.5,,1,93.35734953053763,True
test,Img_224.tif,pred,3,123.5,,1,72.00393607613226,True
test,Img_224.tif,pred,4,497.5,,1,95.62911552054176,True
test,Img_224.tif,pred,5,329.0,,1,81.02853623782421,True
test,Img_224.tif,pred,6,154.0,,0,0.0,False
test,Img_224.tif,pred,7,537.5,,2,50.982058622759155,True
test,Img_230.tif,gt,0,91.50172811673585,small,1,63.52389750941857,True
test,Img_230.tif,gt,1,241.49910387097597,medium,1,91.4334804503069,True
test,Img_230.tif,gt,2,491.5005922570244,medium,1,83.76114344895724,True
test,Img_230.tif,gt,3,603.5060801495041,medium,1,81.06869643767746,True
test,Img_230.tif,gt,4,409.4993280716801,medium,1,89.86568102669237,True
test,Img_230.tif,gt,5,169.49566398464017,small,1,91.70452172020393,True
test,Img_230.tif,gt,6,293.4977119477762,medium,1,90.88662332910899,True
test,Img_230.tif,gt,7,58.49934400307201,small,0,0.0,False
test,Img_230.tif,gt,8,213.501344043008,medium,1,95.02321065641854,True
test,Img_230.tif,gt,9,234.50190402150363,medium,1,86.80685338520973,True
test,Img_230.tif,gt,10,128.49800000307212,small,1,79.52365945274518,True
test,Img_230.tif,gt,11,266.4975840665599,medium,1,77.15838800462281,True
test,Img_230.tif,gt,12,209.50062410547207,medium,1,87.05167386257018,True
test,Img_230.tif,gt,13,481.505791965184,medium,0,0.0,False
test,Img_230.tif,gt,14,389.50009600409567,medium,1,91.35121028387844,True
test,Img_230.tif,gt,15,227.50380802867187,medium,1,92.96675683033087,True
test,Img_230.tif,gt,16,398.50555201945616,medium,1,79.84557762327435,True
test,Img_230.tif,gt,17,121.49990380953616,small,1,74.6920359933563,True
test,Img_230.tif,gt,18,58.502704189440195,small,1,85.68149590381479,True
test,Img_230.tif,gt,19,149.49755194572785,small,1,88.96420721376043,True
test,Img_230.tif,gt,20,518.4970239733758,medium,1,97.01038052181298,True
test,Img_230.tif,gt,21,150.49966400716806,small,1,84.88349572850879,True
test,Img_230.tif,gt,22,581.5006078873596,medium,1,96.96924957835064,True
test,Img_230.tif,gt,23,77.50105591603199,small,1,76.61146707250174,True
test,Img_230.tif,gt,24,233.501247967232,medium,1,97.75121369687203,True
test,Img_230.tif,gt,25,121.49900816793594,small,0,0.0,False
test,Img_230.tif,gt,26,81.49841606860802,small,1,84.05090956871393,True
test,Img_230.tif,gt,27,144.50166390374395,small,0,0.0,False
test,Img_230.tif,gt,28,132.50073601228814,small,1,80.94300694676727,True
test,Img_230.tif,pred,0,578.0,,1,97.01038052181299,True
test,Img_230.tif,pred,1,404.0,,1,89.86568102669236,True
test,Img_230.tif,pred,2,698.0,,1,96.96924957835061,True
test,Img_230.tif,pred,3,380.0,,1,91.3512102838785,True
test,Img_230.tif,pred,4,254.0,,1,95.02321065641854,True
test,Img_230.tif,pred,5,457.5,,1,83.7611434489572,True
test,Img_230.tif,pred,6,250.0,,1,92.96675683033084,True
test,Img_230.tif,pred,7,320.5,,1,90.886623329109,True
test,Img_230.tif,pred,8,565.0,,1,81.06869643767749,True
test,Img_230.tif,pred,9,180.5,,1,91.70452172020394,True
test,Img_230.tif,pred,10,272.5,,1,91.43348045030689,True
test,Img_230.tif,pred,11,239.5,,1,86.80685338520973,True
test,Img_230.tif,pred,12,121.5,,1,79.52365945274519,True
test,Img_230.tif,pred,13,270.5,,1,97.75121369687203,True
test,Img_230.tif,pred,14,203.0,,1,87.05167386257018,True
test,Img_230.tif,pred,15,211.5,,1,77.15838800462282,True
test,Img_230.tif,pred,16,56.5,,1,85.68149590381479,True
