model,label,split,geometry,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
codetr_r50,Co-DETR ResNet-50,test,bbox,75,0.8,S-IoU,404,211,105,65.6910569105691,79.3713163064833,71.88612099644128
codetr_r50,Co-DETR ResNet-50,test,bbox,75,0.9,IoU,445,126,245,77.93345008756567,64.4927536231884,70.57890563045201
codetr_r50,Co-DETR ResNet-50,test,bbox,75,0.9,S-IoU,391,180,144,68.47635726795096,73.08411214953271,70.70524412296564
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.05,IoU,635,1981,1136,24.273700305810397,35.855448898927165,28.949167996352866
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.05,S-IoU,593,2023,764,22.668195718654435,43.69933677229182,29.851497608859805
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.1,IoU,626,1052,1145,37.30631704410012,35.347261434217955,36.30037692084662
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.1,S-IoU,555,1123,781,33.07508939213349,41.541916167664674,36.82813536828136
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.2,IoU,616,799,1155,43.533568904593636,34.78260869565217,38.669177652228505
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.2,S-IoU,533,882,800,37.667844522968196,39.98499624906226,38.79184861717613
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.25,IoU,611,758,1160,44.631117604090576,34.50028232636928,38.9171974522293
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.25,S-IoU,523,846,808,38.203067932797666,39.29376408715252,38.74074074074073
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.3,IoU,608,732,1163,45.37313432835821,34.330886504799544,39.087110253937645
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.3,S-IoU,517,823,815,38.582089552238806,38.813813813813816,38.69760479041916
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.4,IoU,599,687,1172,46.578538102643854,33.82269904009034,39.18874713771672
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.4,S-IoU,508,778,830,39.502332814930014,37.96711509715994,38.71951219512194
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.5,IoU,584,662,1187,46.869983948635635,32.975719932241674,38.71395425919788
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.5,S-IoU,496,750,849,39.807383627608345,36.87732342007435,38.286375916634505
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.6,IoU,575,642,1196,47.247329498767456,32.467532467532465,38.48728246318608
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.6,S-IoU,489,728,864,40.18077239112572,36.14190687361419,38.05447470817121
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.7,IoU,558,623,1213,47.24809483488569,31.507622811970638,37.80487804878049
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.7,S-IoU,479,702,891,40.55884843353091,34.96350364963504,37.55390043120345
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.8,IoU,538,590,1233,47.695035460992905,30.37831733483907,37.11624698171783
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.8,S-IoU,463,665,926,41.04609929078014,33.33333333333333,36.78982916170044
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.9,IoU,472,519,1299,47.62865792129162,26.651609260304916,34.178131788559014
codetr_r50,Co-DETR ResNet-50,field_work,bbox,50,0.9,S-IoU,413,578,1042,41.67507568113017,28.38487972508591,33.769419460343414
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.05,IoU,279,2337,1492,10.6651376146789,15.753811405985319,12.719398222019604
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.05,S-IoU,322,2294,1002,12.308868501529052,24.3202416918429,16.34517766497462
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.1,IoU,278,1400,1493,16.5673420738975,15.697346132128743,16.12061467091911
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.1,S-IoU,303,1375,1027,18.05721096543504,22.781954887218046,20.146276595744677
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.2,IoU,278,1137,1493,19.646643109540637,15.697346132128743,17.451349654739484
codetr_r50,Co-DETR ResNet-50,field_work,bbox,75,0.2,S-IoU,297,1118,1040,20.98939929328622,22.213911742707555,21.584302325581394
