split,score_thr,precision,recall,f1,f1_iou
test,0.02,76.6412213740458,74.2603550295858,75.4320060105184,72.41635687732342
test,0.03,79.5221843003413,69.44858420268257,74.14478918058872,71.94357366771162
test,0.04,82.56880733944955,67.2645739910314,74.13509060955519,72.22672064777328
test,0.05,84.5703125,64.82035928143712,73.38983050847457,71.54742096505822
test,0.06,86.18556701030928,62.295081967213115,72.31833910034602,70.63829787234043
test,0.08,87.64044943820225,58.12220566318928,69.89247311827957,68.37004405286345
test,0.1,88.23529411764706,53.73134328358209,66.79035250463822,65.93806921675775
test,0.12,89.17525773195877,51.488095238095234,65.28301886792453,64.37847866419295
test,0.15,91.16022099447514,49.03417533432392,63.76811594202898,63.11787072243346
test,0.18,92.6829268292683,45.17087667161962,60.739260739260736,60.11787819253438
test,0.2,93.61022364217251,43.536404160475485,59.43204868154158,59.02293120638086
test,0.25,95.18518518518519,38.01775147928994,54.33403805496828,54.16666666666667
test,0.3,98.13953488372093,30.84795321637427,46.941045606229146,46.85082872928177
test,0.35,98.85714285714286,25.218658892128282,40.185830429732874,40.23121387283237
test,0.4,99.3006993006993,20.63953488372093,34.17569193742479,34.333733493397354
test,0.5,98.71794871794873,11.175616835994195,20.078226857887874,20.3125
test,0.6,100.0,4.3478260869565215,8.333333333333332,8.333333333333332
test,0.7,100.0,0.2898550724637681,0.5780346820809248,0.5780346820809248
field_work,0.02,81.92999053926206,50.0,62.101111509501614,56.718528995756714
field_work,0.03,84.41988950276243,44.16184971098266,57.98861480075902,53.736920777279515
field_work,0.04,86.22386223862239,40.61413673232909,55.21858999606144,51.78018575851393
field_work,0.05,87.06666666666666,37.899013348810215,52.81035179943389,49.98016660055533
field_work,0.06,87.55364806866953,35.5194428322693,50.53674649050372,48.097165991902834
field_work,0.08,89.20634920634922,32.57971014492754,47.72823779193205,45.89754269054561
field_work,0.1,91.05263157894737,29.98266897746967,45.11082138200782,43.65655702691158
field_work,0.12,91.66666666666666,27.230857800805985,41.988459831336,40.664626147791864
field_work,0.15,91.97396963123644,24.438040345821328,38.61566484517305,37.903225806451616
field_work,0.18,92.75,21.370967741935484,34.737827715355806,34.08567480423768
field_work,0.2,92.87671232876711,19.471568064330842,32.193732193732195,31.835205992509362
field_work,0.25,94.11764705882352,16.475972540045767,28.042843232716653,27.443428021184396
field_work,0.3,95.52845528455285,13.375071143995445,23.464802795806285,23.500247892910263
field_work,0.35,94.44444444444444,10.637087599544937,19.120654396728018,19.603859827323515
field_work,0.4,94.52054794520548,7.832009080590238,14.465408805031446,14.814814814814817
field_work,0.5,97.14285714285714,3.8505096262740657,7.407407407407408,7.604562737642586
field_work,0.6,95.23809523809523,1.1305822498586773,2.2346368715083798,2.34375
field_work,0.7,100.0,0.282326369282891,0.5630630630630631,0.5630630630630631
