experiment,split,mechanism,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
juniperus_seg_by_region_20260828_114011,test,dense_baseline,75,0.25,IoU,494,299,196,62.29508196721312,71.59420289855073,66.62171274443696
juniperus_seg_by_region_20260828_114011,test,dense_baseline,75,0.25,S-IoU,562,231,52,70.87011349306431,91.53094462540716,79.8862828713575
juniperus_seg_by_region_20260828_114011,test,expert_E_region0_solo,50,0.25,IoU,623,198,67,75.8830694275274,90.28985507246377,82.46194573130377
juniperus_seg_by_region_20260828_114011,test,expert_E_region0_solo,50,0.25,S-IoU,627,194,30,76.37028014616321,95.4337899543379,84.84438430311232
juniperus_seg_by_region_20260828_114011,test,expert_E_region0_solo,75,0.25,IoU,493,328,197,60.048721071863575,71.44927536231884,65.25479814692255
juniperus_seg_by_region_20260828_114011,test,expert_E_region0_solo,75,0.25,S-IoU,567,254,49,69.06211936662606,92.04545454545456,78.91440501043841
juniperus_seg_by_region_20260828_114011,test,expert_E_region1_solo,50,0.25,IoU,567,109,123,83.87573964497041,82.17391304347827,83.0161054172767
juniperus_seg_by_region_20260828_114011,test,expert_E_region1_solo,50,0.25,S-IoU,574,102,71,84.91124260355029,88.9922480620155,86.90386071158214
juniperus_seg_by_region_20260828_114011,test,expert_E_region1_solo,75,0.25,IoU,453,223,237,67.01183431952663,65.65217391304347,66.32503660322108
juniperus_seg_by_region_20260828_114011,test,expert_E_region1_solo,75,0.25,S-IoU,525,151,91,77.66272189349112,85.22727272727273,81.26934984520125
juniperus_seg_by_region_20260828_114011,test,random_ensemble,50,0.25,IoU,624,209,66,74.90996398559425,90.43478260869566,81.9435325016415
juniperus_seg_by_region_20260828_114011,test,random_ensemble,50,0.25,S-IoU,640,193,22,76.83073229291718,96.67673716012084,85.61872909698997
juniperus_seg_by_region_20260828_114011,test,random_ensemble,75,0.25,IoU,489,344,201,58.70348139255702,70.86956521739131,64.21536441234406
juniperus_seg_by_region_20260828_114011,test,random_ensemble,75,0.25,S-IoU,584,249,33,70.10804321728692,94.6515397082658,80.55172413793103
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_ensemble_uniform,50,0.25,IoU,1235,555,536,68.99441340782123,69.73461321287408,69.36253861274923
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_ensemble_uniform,50,0.25,S-IoU,1424,366,323,79.55307262569833,81.51116199198626,80.52021487135991
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_ensemble_uniform,75,0.25,IoU,657,1133,1114,36.703910614525135,37.09768492377188,36.89974726200506
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_ensemble_uniform,75,0.25,S-IoU,1139,651,411,63.63128491620111,73.48387096774194,68.20359281437126
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_ensemble_weighted,50,0.25,IoU,1052,230,719,82.05928237129486,59.40146809712027,68.91582050442187
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_ensemble_weighted,50,0.25,S-IoU,1116,166,529,87.05148205928236,67.8419452887538,76.2555517594807
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_ensemble_weighted,75,0.25,IoU,599,683,1172,46.72386895475819,33.82269904009034,39.24009171306911
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_ensemble_weighted,75,0.25,S-IoU,962,320,593,75.0390015600624,61.86495176848874,67.81811772999647
juniperus_seg_by_region_20260831_073029,field_work,btm_forest_soup,50,0.25,IoU,1105,237,666,82.3397913561848,62.39412761151891,70.99261162865403
