model,label,split,geometry,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.6,S-IoU,741,282,656,72.43401759530792,53.04223335719399,61.239669421487605
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.7,IoU,766,45,1005,94.45129469790382,43.25239977413891,59.33384972889234
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.7,S-IoU,622,189,886,76.69543773119607,41.246684350132625,53.64381198792584
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.8,IoU,527,17,1244,96.875,29.757199322416717,45.52915766738661
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.8,S-IoU,448,96,1154,82.35294117647058,27.965043695380775,41.752096924510724
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.9,IoU,94,0,1677,100.0,5.307735742518351,10.080428954423592
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.9,S-IoU,85,9,1672,90.42553191489363,4.837791690381332,9.184224743381955
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.25,IoU,599,152,91,79.76031957390146,86.81159420289855,83.13671061762665
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.25,S-IoU,533,218,52,70.97203728362183,91.11111111111111,79.79041916167664
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.3,IoU,586,113,104,83.8340486409156,84.92753623188406,84.3772498200144
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.3,S-IoU,518,181,61,74.10586552217453,89.46459412780656,81.0641627543036
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.35,IoU,566,88,124,86.54434250764525,82.02898550724638,84.22619047619047
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.35,S-IoU,500,154,81,76.45259938837921,86.05851979345955,80.97165991902835
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.4,IoU,545,66,145,89.19803600654664,78.98550724637681,83.78170637970791
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.4,S-IoU,478,133,105,78.23240589198036,81.98970840480274,80.06700167504188
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.45,IoU,514,52,176,90.81272084805654,74.4927536231884,81.84713375796177
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.45,S-IoU,452,114,138,79.85865724381625,76.61016949152543,78.2006920415225
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.5,IoU,492,40,198,92.4812030075188,71.30434782608695,80.52373158756137
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.5,S-IoU,433,99,162,81.39097744360903,72.77310924369748,76.84117125110915
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.55,IoU,461,34,229,93.13131313131314,66.81159420289855,77.80590717299577
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.55,S-IoU,408,87,193,82.42424242424242,67.88685524126456,74.45255474452556
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.6,IoU,429,24,261,94.70198675496688,62.17391304347826,75.06561679790026
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.6,S-IoU,380,73,231,83.88520971302428,62.19312602291326,71.42857142857143
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.7,IoU,352,10,338,97.23756906077348,51.01449275362319,66.92015209125475
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.7,S-IoU,312,50,317,86.1878453038674,49.60254372019078,62.96670030272452
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.8,IoU,246,5,444,98.00796812749005,35.65217391304348,52.284803400637614
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.8,S-IoU,222,29,429,88.44621513944223,34.10138248847927,49.2239467849224
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.9,IoU,74,0,616,100.0,10.72463768115942,19.3717277486911
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.9,S-IoU,66,8,611,89.1891891891892,9.748892171344165,17.576564580559253
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.25,IoU,1100,296,671,78.79656160458453,62.11180124223602,69.46637196084623
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.25,S-IoU,927,469,462,66.40401146131805,66.73866090712744,66.5709156193896
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.3,IoU,1035,223,736,82.27344992050874,58.44155844155844,68.33938593595246
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.3,S-IoU,854,404,537,67.88553259141494,61.39468008626887,64.47716119290298
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.35,IoU,983,174,788,84.96110630942091,55.50536420101637,67.14480874316939
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.35,S-IoU,802,355,597,69.31719965427831,57.32666190135811,62.754303599374026
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.4,IoU,909,138,862,86.81948424068769,51.32693393562959,64.513839602555
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.4,S-IoU,738,309,679,70.48710601719198,52.081863091037405,59.9025974025974
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.45,IoU,838,113,933,88.11777076761304,47.31789949181254,61.57237325495959
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.45,S-IoU,677,274,769,71.1882229232387,46.81881051175657,56.48727576136837
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.5,IoU,788,92,983,89.54545454545455,44.49463579898362,59.44926442851754
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.5,S-IoU,631,249,831,71.70454545454545,43.16005471956224,53.88556789069171
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.55,IoU,703,71,1068,90.82687338501292,39.69508752117448,55.245579567779956
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.55,S-IoU,563,211,920,72.7390180878553,37.96358732299393,49.88923349579088
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.6,IoU,627,57,1144,91.66666666666666,35.40372670807454,51.079429735234214
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.6,S-IoU,503,181,1011,73.53801169590643,33.22324966974901,45.768880800727935
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.7,IoU,472,28,1299,94.39999999999999,26.651609260304916,41.56759136944078
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.7,S-IoU,381,119,1218,76.2,23.827392120075046,36.30300142925202
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.8,IoU,309,10,1462,96.86520376175548,17.447769621682667,29.569377990430617
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.8,S-IoU,252,67,1425,78.99686520376176,15.026833631484795,25.25050100200401
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.9,IoU,57,1,1714,98.27586206896551,3.2185206098249575,6.232914160743576
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),field_work,bbox,50,0.9,S-IoU,52,6,1705,89.65517241379311,2.959590210586226,5.7300275482093666
