experiment,split,mechanism,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.25,S-IoU,702,304,18,69.78131212723659,97.5,81.3441483198146
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.3,S-IoU,679,252,22,72.93233082706767,96.86162624821684,83.21078431372548
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.35,S-IoU,667,209,27,76.14155251141553,96.10951008645533,84.96815286624204
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.4,S-IoU,649,172,36,79.04993909866018,94.74452554744526,86.18857901726427
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.45,S-IoU,636,141,39,81.85328185328186,94.22222222222221,87.60330578512396
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.5,S-IoU,614,112,50,84.57300275482093,92.46987951807229,88.34532374100719
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.55,S-IoU,595,95,63,86.23188405797102,90.42553191489363,88.27893175074185
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.6,S-IoU,575,74,77,88.59784283513096,88.19018404907976,88.39354342813222
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.65,S-IoU,549,50,103,91.65275459098497,84.20245398773007,87.76978417266187
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.7,S-IoU,515,37,137,93.29710144927536,78.9877300613497,85.54817275747509
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.75,S-IoU,458,26,194,94.62809917355372,70.24539877300614,80.63380281690141
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.8,S-IoU,398,19,258,95.44364508393285,60.670731707317074,74.18452935694314
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.85,S-IoU,301,6,370,98.0456026058632,44.85842026825633,61.55419222903886
juniperus_seg_homogeneous_20260905_105741,test,random_ensemble,50,0.9,S-IoU,166,3,516,98.22485207100591,24.34017595307918,39.012925969447714
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.1,S-IoU,691,265,16,72.28033472803347,97.73691654879774,83.1028262176789
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.12,S-IoU,671,217,23,75.56306306306307,96.68587896253602,84.82932996207333
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.15,S-IoU,640,145,37,81.52866242038218,94.53471196454947,87.55129958960327
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.18,S-IoU,612,95,55,86.56294200848656,91.75412293853074,89.08296943231441
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.2,S-IoU,590,67,69,89.8021308980213,89.52959028831563,89.66565349544072
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.22,S-IoU,553,46,98,92.32053422370618,84.94623655913979,88.48
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.25,S-IoU,488,23,168,95.49902152641879,74.39024390243902,83.63324764353041
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.3,S-IoU,182,6,495,96.80851063829788,26.88330871491876,42.080924855491325
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.35,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.4,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.45,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.5,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.55,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.6,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.65,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.7,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.75,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.8,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.85,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_weighted,50,0.9,S-IoU,0,0,690,0.0,0.0,0.0
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.05,S-IoU,1484,781,329,65.5187637969095,81.85328185328186,72.7807748896518
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.08,S-IoU,1390,598,362,69.91951710261569,79.337899543379,74.33155080213903
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.1,S-IoU,1347,527,386,71.87833511205977,77.7264858626659,74.68810645966177
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.12,S-IoU,1309,457,413,74.12231030577576,76.01626016260163,75.05733944954129
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.15,S-IoU,1252,390,448,76.24847746650426,73.6470588235294,74.92519449431478
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.18,S-IoU,1213,327,471,78.76623376623377,72.03087885985748,75.24813895781638
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.2,S-IoU,1182,306,494,79.43548387096774,70.52505966587113,74.71554993678888
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.22,S-IoU,1161,281,507,80.5131761442441,69.60431654676259,74.66237942122186
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.25,S-IoU,1128,251,532,81.79840464104423,67.95180722891565,74.23494570582429
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.3,S-IoU,1043,207,607,83.44,63.21212121212121,71.93103448275862
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.35,S-IoU,998,170,652,85.44520547945206,60.484848484848484,70.83037615330022
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.4,S-IoU,935,140,709,86.9767441860465,56.8734793187348,68.7752850312615
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.45,S-IoU,874,113,769,88.55116514690982,53.195374315276936,66.4638783269962
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.5,S-IoU,811,87,844,90.31180400890868,49.003021148036254,63.533098315707
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.55,S-IoU,743,75,921,90.83129584352079,44.65144230769231,59.87107171635778
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.6,S-IoU,667,58,1013,92.0,39.70238095238095,55.46777546777546
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.65,S-IoU,586,52,1102,91.84952978056427,34.71563981042654,50.38693035253654
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.7,S-IoU,507,40,1199,92.68738574040219,29.718640093786636,45.006657789613854
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.75,S-IoU,409,23,1316,94.67592592592592,23.71014492753623,37.92304126101067
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.8,S-IoU,305,15,1431,95.3125,17.569124423963135,29.66926070038911
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.85,S-IoU,178,7,1574,96.21621621621622,10.159817351598173,18.378936499741865
juniperus_seg_homogeneous_20260905_105741,field_work,dense_baseline,50,0.9,S-IoU,81,1,1681,98.78048780487805,4.597048808172531,8.785249457700651
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.05,S-IoU,2304,2344,89,49.5697074010327,96.28081905557877,65.44524925436728
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.08,S-IoU,2102,1697,108,55.33035009212951,95.11312217194569,69.96172408054585
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.1,S-IoU,2006,1412,123,58.68929198361615,94.2226397369657,72.3273841716243
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.12,S-IoU,1930,1175,131,62.15780998389694,93.64386220281416,74.71931862175765
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.15,S-IoU,1851,970,150,65.61503013115917,92.50374812593704,76.77312318540025
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.18,S-IoU,1773,802,172,68.85436893203884,91.15681233933162,78.45132743362832
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.2,S-IoU,1724,724,190,70.42483660130719,90.07314524555903,79.04630903255388
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.22,S-IoU,1684,655,208,71.99657973492945,89.00634249471459,79.60293074923186
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.25,S-IoU,1622,562,226,74.26739926739927,87.77056277056276,80.45634920634922
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.3,S-IoU,1511,446,278,77.2100153295861,84.460592509782,80.6727175654031
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.35,S-IoU,1431,334,326,81.07648725212464,81.44564598747866,81.26064735945485
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.4,S-IoU,1363,266,367,83.67096378146101,78.78612716763006,81.15510568621613
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.45,S-IoU,1295,212,408,85.93231585932315,76.04227833235467,80.68535825545172
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.5,S-IoU,1219,179,454,87.19599427753934,72.86312014345488,79.38782155649625
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.55,S-IoU,1145,149,508,88.4853168469861,69.2679975801573,77.70614183915848
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.6,S-IoU,1064,120,578,89.86486486486487,64.79902557856273,75.30077848549186
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.65,S-IoU,955,97,684,90.77946768060836,58.26723611958511,70.97733184689706
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.7,S-IoU,852,70,788,92.40780911062907,51.951219512195124,66.5105386416862
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.75,S-IoU,727,46,934,94.04915912031048,43.768813967489464,59.73705834018077
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.8,S-IoU,581,32,1094,94.77977161500816,34.6865671641791,50.78671328671328
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.85,S-IoU,386,14,1333,96.5,22.454915648632927,36.43227937706465
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_uniform,50,0.9,S-IoU,154,1,1604,99.35483870967742,8.75995449374289,16.100365917407213
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.05,S-IoU,1351,332,378,80.27332144979204,78.13765182186235,79.19109026963659
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.08,S-IoU,1262,247,438,83.63154406891982,74.23529411764706,78.6537862262387
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.1,S-IoU,1217,219,466,84.74930362116991,72.31134878193701,78.03783263866623
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.12,S-IoU,1160,191,513,85.86232420429312,69.3365212193664,76.71957671957672
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.15,S-IoU,1104,166,556,86.92913385826772,66.50602409638554,75.35836177474403
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.18,S-IoU,1066,146,586,87.95379537953795,64.5278450363196,74.4413407821229
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.2,S-IoU,1032,138,613,88.2051282051282,62.73556231003039,73.3214920071048
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.22,S-IoU,1009,126,633,88.89867841409692,61.44945188794153,72.66834713719841
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.25,S-IoU,964,108,679,89.92537313432835,58.67315885575167,71.01289134438305
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.3,S-IoU,895,94,749,90.49544994944388,54.44038929440389,67.98328902392707
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.35,S-IoU,842,74,802,91.92139737991266,51.21654501216545,65.78125
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.4,S-IoU,790,63,856,92.61430246189917,47.9951397326853,63.225290116046416
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.45,S-IoU,728,50,930,93.573264781491,43.90832328106152,59.77011494252873
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.5,S-IoU,665,40,1007,94.32624113475178,39.77272727272727,55.95288178376104
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.55,S-IoU,616,33,1069,94.91525423728814,36.55786350148368,52.784918594687234
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.6,S-IoU,567,25,1130,95.77702702702703,33.41190335886859,49.54128440366972
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.65,S-IoU,484,21,1231,95.84158415841584,28.221574344023324,43.60360360360361
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.7,S-IoU,412,15,1318,96.4871194379391,23.815028901734102,38.20120537783959
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.75,S-IoU,328,7,1416,97.91044776119404,18.807339449541285,31.553631553631554
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.8,S-IoU,228,3,1528,98.7012987012987,12.984054669703873,22.9491696024157
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.85,S-IoU,95,0,1673,100.0,5.373303167420815,10.198604401502953
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_soup,50,0.9,S-IoU,2,0,1769,100.0,0.1129305477131564,0.22560631697687533
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.25,S-IoU,1551,444,263,77.74436090225564,85.50165380374862,81.43869782095038
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.3,S-IoU,1462,358,303,80.32967032967034,82.8328611898017,81.56206415620643
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.35,S-IoU,1384,300,344,82.18527315914488,80.0925925925926,81.12543962485346
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.4,S-IoU,1304,246,396,84.12903225806451,76.70588235294117,80.24615384615385
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.45,S-IoU,1218,220,453,84.7009735744089,72.89048473967684,78.35316822129302
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.5,S-IoU,1149,176,515,86.71698113207547,69.05048076923077,76.88190030110404
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.55,S-IoU,1081,140,571,88.53398853398853,65.4358353510896,75.25234946049426
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.6,S-IoU,999,115,647,89.67684021543985,60.692588092345076,72.3913043478261
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.65,S-IoU,916,90,725,91.05367793240556,55.819622181596586,69.21042689837552
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.7,S-IoU,807,65,861,92.54587155963303,48.381294964028775,63.54330708661416
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.75,S-IoU,679,45,996,93.78453038674033,40.537313432835816,56.60691954981242
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.8,S-IoU,544,28,1161,95.1048951048951,31.906158357771265,47.78216952129996
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.85,S-IoU,358,11,1376,97.01897018970189,20.645905420991927,34.046600095102235
juniperus_seg_homogeneous_20260905_105741,field_work,random_ensemble,50,0.9,S-IoU,140,0,1625,100.0,7.932011331444759,14.698162729658792
juniperus_seg_homogeneous_20260905_105741,field_work,btm_forest_ensemble_weighted,50,0.02,S-IoU,2226,2101,96,51.444418765888614,95.8656330749354,66.95743720860281
